Date,Start (ET),Visitor/Neutral,Home/Neutral,home_perc,away_perc
Mon Nov 11 2019,7:30p,Memphis Grizzlies,San Antonio Spurs,0.782304585,0.217695445
Mon Nov 11 2019,8:00p,Houston Rockets,New Orleans Pelicans,0.317021996,0.682977974
Mon Nov 11 2019,10:30p,Utah Jazz,Golden State Warriors,0.378088981,0.621910989
Mon Nov 11 2019,10:30p,Toronto Raptors,Los Angeles Clippers,0.424031138,0.575968802
Tue Nov 12 2019,7:00p,Oklahoma City Thunder,Indiana Pacers,0.718543231,0.281456769
Tue Nov 12 2019,7:00p,Cleveland Cavaliers,Philadelphia 76ers,0.782567263,0.217432752
Tue Nov 12 2019,7:30p,Detroit Pistons,Miami Heat,0.787129045,0.212871
Tue Nov 12 2019,8:00p,New York Knicks,Chicago Bulls,0.628472328,0.371527672
Tue Nov 12 2019,9:00p,Atlanta Hawks,Denver Nuggets,0.750293374,0.249706581
Tue Nov 12 2019,9:00p,Los Angeles Lakers,Phoenix Suns,0.68391484,0.31608519
Tue Nov 12 2019,9:00p,Brooklyn Nets,Utah Jazz,0.673038781,0.326961219
Tue Nov 12 2019,10:00p,Portland Trail Blazers,Sacramento Kings,0.435260892,0.564739108
Wed Nov 13 2019,7:00p,Memphis Grizzlies,Charlotte Hornets,0.548205256,0.451794714
Wed Nov 13 2019,7:00p,Philadelphia 76ers,Orlando Magic,0.372830421,0.62716949
Wed Nov 13 2019,7:30p,Washington Wizards,Boston Celtics,0.860195875,0.139804065
Wed Nov 13 2019,7:30p,Los Angeles Clippers,Houston Rockets,0.74467963,0.25532037
Wed Nov 13 2019,8:00p,San Antonio Spurs,Minnesota Timberwolves,0.710484982,0.289514989
Wed Nov 13 2019,10:00p,Golden State Warriors,Los Angeles Lakers,0.823782206,0.176217824
Wed Nov 13 2019,10:00p,Toronto Raptors,Portland Trail Blazers,0.335879952,0.664120078
Thu Nov 14 2019,6:00p,Miami Heat,Cleveland Cavaliers,0.316599727,0.683400214
Thu Nov 14 2019,8:00p,Chicago Bulls,Milwaukee Bucks,0.827771306,0.172228709
Thu Nov 14 2019,8:00p,Los Angeles Clippers,New Orleans Pelicans,0.473047405,0.526952624
Thu Nov 14 2019,8:00p,Dallas Mavericks,New York Knicks,0.271975487,0.728024542
Thu Nov 14 2019,9:00p,Atlanta Hawks,Phoenix Suns,0.774030209,0.225969806
Thu Nov 14 2019,10:30p,Brooklyn Nets,Denver Nuggets,0.563549399,0.436450601
Fri Nov 15 2019,7:00p,Detroit Pistons,Charlotte Hornets,0.375947773,0.624052286
Fri Nov 15 2019,7:00p,San Antonio Spurs,Orlando Magic,0.530941308,0.469058722
Fri Nov 15 2019,8:00p,Indiana Pacers,Houston Rockets,0.804130971,0.195869029
Fri Nov 15 2019,8:00p,Utah Jazz,Memphis Grizzlies,0.430899709,0.569100261
Fri Nov 15 2019,8:00p,Washington Wizards,Minnesota Timberwolves,0.822829366,0.177170649
Fri Nov 15 2019,8:00p,Philadelphia 76ers,Oklahoma City Thunder,0.503928602,0.496071398
Fri Nov 15 2019,10:30p,Boston Celtics,Golden State Warriors,0.232886955,0.76711303
Fri Nov 15 2019,10:30p,Sacramento Kings,Los Angeles Lakers,0.823347926,0.176652089
Sat Nov 16 2019,6:00p,Brooklyn Nets,Chicago Bulls,0.411227047,0.588772953
Sat Nov 16 2019,7:00p,Milwaukee Bucks,Indiana Pacers,0.421105683,0.578894317
Sat Nov 16 2019,7:30p,Charlotte Hornets,New York Knicks,0.429769337,0.570230722
Sat Nov 16 2019,8:00p,New Orleans Pelicans,Miami Heat,0.81307137,0.18692863
Sat Nov 16 2019,8:00p,Houston Rockets,Minnesota Timberwolves,0.380672365,0.619327605
Sat Nov 16 2019,8:30p,Toronto Raptors,Dallas Mavericks,0.399909586,0.600090384
Sat Nov 16 2019,8:30p,Portland Trail Blazers,San Antonio Spurs,0.694643974,0.305356055
Sat Nov 16 2019,10:30p,Atlanta Hawks,Los Angeles Clippers,0.751656651,0.248343319
Sun Nov 17 2019,3:00p,Philadelphia 76ers,Cleveland Cavaliers,0.418942541,0.581057429
Sun Nov 17 2019,3:30p,Boston Celtics,Sacramento Kings,0.259997725,0.740002275
Sun Nov 17 2019,6:00p,Denver Nuggets,Memphis Grizzlies,0.50526917,0.49473086
Sun Nov 17 2019,6:00p,Washington Wizards,Orlando Magic,0.613396704,0.386603266
Sun Nov 17 2019,7:00p,Golden State Warriors,New Orleans Pelicans,0.722190142,0.277809858
Sun Nov 17 2019,9:30p,Atlanta Hawks,Los Angeles Lakers,0.846366048,0.153634012
Mon Nov 18 2019,7:00p,Cleveland Cavaliers,New York Knicks,0.542934418,0.457065582
Mon Nov 18 2019,7:30p,Indiana Pacers,Brooklyn Nets,0.680113912,0.319886059
Mon Nov 18 2019,7:30p,Charlotte Hornets,Toronto Raptors,0.798063159,0.201936841
Mon Nov 18 2019,8:00p,Milwaukee Bucks,Chicago Bulls,0.248531744,0.751468182
Mon Nov 18 2019,8:00p,Portland Trail Blazers,Houston Rockets,0.838492811,0.161507234
Mon Nov 18 2019,8:30p,San Antonio Spurs,Dallas Mavericks,0.750887871,0.249112085
Mon Nov 18 2019,9:00p,Boston Celtics,Phoenix Suns,0.535257936,0.464742035
Mon Nov 18 2019,9:00p,Minnesota Timberwolves,Utah Jazz,0.684209943,0.315790057
Mon Nov 18 2019,10:30p,Oklahoma City Thunder,Los Angeles Clippers,0.769619405,0.230380639
Tue Nov 19 2019,8:00p,Golden State Warriors,Memphis Grizzlies,0.697326958,0.302673072
Tue Nov 19 2019,8:00p,Portland Trail Blazers,New Orleans Pelicans,0.626224399,0.373775572
Tue Nov 19 2019,10:00p,Phoenix Suns,Sacramento Kings,0.335417718,0.664582193
Tue Nov 19 2019,10:30p,Oklahoma City Thunder,Los Angeles Lakers,0.828952014,0.171047971
Wed Nov 20 2019,7:00p,New York Knicks,Philadelphia 76ers,0.81072861,0.189271435
Wed Nov 20 2019,7:00p,San Antonio Spurs,Washington Wizards,0.598155975,0.401843935
Wed Nov 20 2019,7:30p,Milwaukee Bucks,Atlanta Hawks,0.227592841,0.772407234
Wed Nov 20 2019,7:30p,Charlotte Hornets,Brooklyn Nets,0.677952349,0.322047621
Wed Nov 20 2019,7:30p,Golden State Warriors,Dallas Mavericks,0.808223546,0.19177644
Wed Nov 20 2019,7:30p,Cleveland Cavaliers,Miami Heat,0.852698743,0.147301301
Wed Nov 20 2019,7:30p,Orlando Magic,Toronto Raptors,0.837483168,0.162516922
Wed Nov 20 2019,8:00p,Detroit Pistons,Chicago Bulls,0.39159593,0.6084041
Wed Nov 20 2019,8:00p,Utah Jazz,Minnesota Timberwolves,0.61267966,0.387320369
Wed Nov 20 2019,9:00p,Houston Rockets,Denver Nuggets,0.469090998,0.530909061
Wed Nov 20 2019,10:00p,Boston Celtics,Los Angeles Clippers,0.520261109,0.479738861
Thu Nov 21 2019,8:00p,Portland Trail Blazers,Milwaukee Bucks,0.853572488,0.146427572
Thu Nov 21 2019,10:30p,New Orleans Pelicans,Phoenix Suns,0.641340137,0.358659834
Fri Nov 22 2019,7:00p,Atlanta Hawks,Detroit Pistons,0.67430681,0.32569319
Fri Nov 22 2019,7:00p,Charlotte Hornets,Washington Wizards,0.692630887,0.307369143
Fri Nov 22 2019,7:30p,Sacramento Kings,Brooklyn Nets,0.59948349,0.40051648
Fri Nov 22 2019,8:00p,Miami Heat,Chicago Bulls,0.283886999,0.716113031
Fri Nov 22 2019,8:00p,Los Angeles Lakers,Oklahoma City Thunder,0.391143382,0.608856618
