Player,Pos,FG%,FT%,3P,PS/G▼,TRB,AST,STL,BLK,TOV
T.J. McConnell,PG,0.47,0.634,0.4,6.1,3.1,4.5,1.2,0.1,1.7
Paul Pierce,SF,0.363,0.818,1.1,6.1,2.7,1,0.5,0.3,0.9
Tyler Zeller,C,0.476,0.815,0,6.1,3,0.5,0.2,0.4,0.8
Alexis Ajinca,C,0.476,0.839,0,6,4.6,0.5,0.3,0.6,0.9
Duje Dukan,SF,0.2,,2,6,4,1,1,0,0
Spencer Hawes,PF,0.405,0.831,0.7,6,4.3,1.9,0.4,0.5,1
Jonathon Simmons,SG,0.504,0.75,0.3,6,1.7,1.1,0.4,0.1,1
Josh Smith,PF,0.364,0.552,0.7,6,3.5,1.6,0.6,0.9,1.4
Trevor Booker,PF,0.49,0.67,0.2,5.9,5.7,1.1,0.7,0.5,1
Markel Brown,SG,0.394,0.755,0.6,5.9,2,1.5,0.6,0.2,0.9
Randy Foye,SG,0.351,0.824,0.9,5.9,1.9,2,0.5,0.4,1.1
Roy Hibbert,C,0.443,0.807,0,5.9,4.9,1.2,0.4,1.4,0.9
J.J. Hickson,C,0.516,0.447,0,5.9,3.8,0.7,0.4,0.4,0.7
Raul Neto,PG,0.431,0.743,0.8,5.9,1.5,2.1,0.8,0,1.3
Jason Terry,SG,0.402,0.818,1.3,5.9,1.1,1.4,0.7,0.1,0.7
Rondae Hollis-Jefferson,SF,0.457,0.712,0.1,5.8,5.3,1.5,1.3,0.6,0.9
Dwight Powell,PF,0.493,0.739,0,5.8,4,0.6,0.5,0.3,0.6
Iman Shumpert,SG,0.374,0.784,0.8,5.8,3.8,1.7,1,0.4,1.1
Amar'e Stoudemire,C,0.566,0.746,0,5.8,4.3,0.5,0.3,0.8,0.9
Ty Lawson,PG,0.393,0.686,0.5,5.7,1.8,3.6,0.8,0.1,1.4
Jarell Martin,PF,0.466,0.726,0,5.7,3.2,0.6,0.3,0.3,0.7
Xavier Munford,SG,0.416,0.5,0.6,5.7,2.2,1.6,0.9,0.2,1.1
Greivis Vasquez,PG,0.326,0.846,0.8,5.7,2,4,0.4,0,1.7
Troy Daniels,SG,0.476,0.556,1.4,5.6,1.3,0.5,0.3,0.1,0.6
Bryce Dejean-Jones,SG,0.406,0.524,0.9,5.6,3.4,1.1,0.7,0.1,0.8
Jerian Grant,PG,0.394,0.78,0.3,5.6,1.9,2.3,0.7,0.1,1.1
Richaun Holmes,PF,0.514,0.689,0.2,5.6,2.6,0.6,0.4,0.8,0.6
Anthony Morrow,SG,0.408,0.744,1.2,5.6,0.9,0.4,0.3,0.1,0.3
Norman Powell,SG,0.424,0.811,0.7,5.6,2.3,1,0.6,0.2,0.7
Tiago Splitter,C,0.523,0.813,0,5.6,3.3,0.8,0.6,0.3,0.7
Cole Aldrich,C,0.596,0.714,0,5.5,4.8,0.8,0.8,1.1,1.1
Bismack Biyombo,C,0.542,0.628,0,5.5,8,0.4,0.2,1.6,0.9
Richard Jefferson,SF,0.458,0.667,0.9,5.5,1.7,0.8,0.4,0.2,0.6
Boban Marjanovic,C,0.603,0.763,0,5.5,3.6,0.4,0.2,0.4,0.5
Larry Nance Jr.,PF,0.527,0.681,0,5.5,5,0.7,0.9,0.4,0.7
Lavoy Allen,PF,0.516,0.63,0,5.4,5.4,1,0.3,0.5,0.9
Andrew Bogut,C,0.627,0.48,0,5.4,7,2.3,0.5,1.6,1.2
Ronnie Price,PG,0.384,0.756,1.1,5.3,1.6,2.4,1.2,0.2,1.1
Tony Snell,SF,0.372,0.909,0.9,5.3,3.1,1,0.3,0.3,0.8
Anthony Tolliver,PF,0.386,0.617,1.4,5.3,3.2,0.7,0.4,0.2,0.4
Quincy Acy,PF,0.556,0.735,0.3,5.2,3.2,0.5,0.5,0.4,0.5
Nemanja Bjelica,PF,0.468,0.727,0.8,5.1,3.5,1.4,0.4,0.4,0.8
Tim Frazier,PG,0.419,0.716,0.3,5.1,2.2,3.2,0.6,0,1.3
JaVale McGee,C,0.575,0.5,0,5.1,3.9,0.1,0.1,0.8,0.6
Miles Plumlee,C,0.601,0.576,0,5.1,3.8,0.3,0.3,0.8,0.7
JaKarr Sampson,SF,0.442,0.656,0.2,5.1,2.6,0.6,0.3,0.5,1
Charlie Villanueva,PF,0.382,0.917,0.8,5.1,2.5,0.4,0.3,0.2,0.5
Alan Anderson,SG,0.356,0.733,0.9,5,2.1,1.1,0.3,0.1,0.2
James Johnson,PF,0.475,0.574,0.4,5,2.2,1.2,0.5,0.6,0.9
Cameron Payne,PG,0.41,0.792,0.6,5,1.5,1.9,0.6,0.1,0.8
Metta World Peace,SF,0.311,0.702,0.7,5,2.5,0.8,0.6,0.3,0.4
Sasha Vujacic,SG,0.383,0.821,0.9,4.9,2.4,1.4,0.6,0.1,0.7
Spencer Dinwiddie,PG,0.352,0.576,0.1,4.8,1.4,1.8,0.3,0,0.6
Kyle O'Quinn,PF,0.476,0.767,0.1,4.8,3.8,1.1,0.3,0.8,0.9
Andre Roberson,SG,0.496,0.611,0.5,4.8,3.6,0.7,0.8,0.6,0.5
Chris McCullough,PF,0.404,0.478,0.5,4.7,2.8,0.4,1.2,0.5,0.6
Willie Reed,PF,0.571,0.545,0,4.7,3.1,0.3,0.2,0.8,0.4
Beno Udrih,PG,0.434,0.9,0.3,4.7,1.6,2.6,0.3,0,1.2
Kyle Anderson,SF,0.468,0.747,0.2,4.5,3.1,1.6,0.8,0.4,0.8
Tyler Ennis,PG,0.449,0.735,0.3,4.5,1.6,2.1,0.5,0,1
Alonzo Gee,SF,0.518,0.667,0.2,4.5,3.4,1,0.9,0.2,0.8
Justin Holiday,SG,0.386,0.73,0.7,4.5,1.7,1.1,0.6,0.4,0.7
Marcelo Huertas,PG,0.422,0.931,0.3,4.5,1.7,3.4,0.5,0.1,1.5
Jordan McRae,PG,0.436,0.75,0.5,4.5,0.9,1.1,0.1,0,0.7
Nikola Pekovic,C,0.38,0.8,0,4.5,1.8,0.9,0.1,0,0.8
Steve Blake,PG,0.388,0.8,0.9,4.4,1.5,3.4,0.4,0.1,1.4
Dewayne Dedmon,C,0.559,0.75,0,4.4,3.9,0.2,0.4,0.8,0.6
