Date,Start (ET),Visitor/Neutral,Home/Neutral,home_perc,away_perc
Mon Nov 25 2019,7:00p,Orlando Magic,Detroit Pistons,66.78%,33.22%
Mon Nov 25 2019,7:00p,Memphis Grizzlies,Indiana Pacers,71.13%,28.87%
Mon Nov 25 2019,7:30p,Minnesota Timberwolves,Atlanta Hawks,34.78%,65.22%
Mon Nov 25 2019,7:30p,Sacramento Kings,Boston Celtics,78.03%,21.97%
Mon Nov 25 2019,7:30p,Charlotte Hornets,Miami Heat,83.80%,16.20%
Mon Nov 25 2019,7:30p,Philadelphia 76ers,Toronto Raptors,75.06%,24.94%
Mon Nov 25 2019,8:00p,Portland Trail Blazers,Chicago Bulls,55.41%,44.59%
Mon Nov 25 2019,8:00p,Utah Jazz,Milwaukee Bucks,79.51%,20.49%
Mon Nov 25 2019,8:30p,Los Angeles Lakers,San Antonio Spurs,35.16%,64.84%
Mon Nov 25 2019,10:30p,Oklahoma City Thunder,Golden State Warriors,46.63%,53.37%
Tue Nov 26 2019,8:30p,Los Angeles Clippers,Dallas Mavericks,74.45%,25.55%
Tue Nov 26 2019,9:00p,Washington Wizards,Denver Nuggets,73.40%,26.60%
Wed Nov 27 2019,7:00p,Brooklyn Nets,Boston Celtics,76.98%,23.02%
Wed Nov 27 2019,7:00p,Detroit Pistons,Charlotte Hornets,37.40%,62.60%
Wed Nov 27 2019,7:00p,Orlando Magic,Cleveland Cavaliers,55.85%,44.15%
Wed Nov 27 2019,7:00p,Utah Jazz,Indiana Pacers,60.96%,39.04%
Wed Nov 27 2019,7:00p,Sacramento Kings,Philadelphia 76ers,74.11%,25.89%
Wed Nov 27 2019,7:30p,New York Knicks,Toronto Raptors,85.67%,14.33%
Wed Nov 27 2019,8:00p,Miami Heat,Houston Rockets,49.57%,50.43%
Wed Nov 27 2019,8:00p,Los Angeles Clippers,Memphis Grizzlies,37.51%,62.49%
Wed Nov 27 2019,8:00p,Atlanta Hawks,Milwaukee Bucks,87.22%,12.78%
Wed Nov 27 2019,8:30p,Minnesota Timberwolves,San Antonio Spurs,45.95%,54.05%
Wed Nov 27 2019,9:00p,Washington Wizards,Phoenix Suns,66.75%,33.25%
Wed Nov 27 2019,9:30p,Los Angeles Lakers,New Orleans Pelicans,37.33%,62.67%
Wed Nov 27 2019,10:00p,Oklahoma City Thunder,Portland Trail Blazers,57.43%,42.57%
Wed Nov 27 2019,10:30p,Chicago Bulls,Golden State Warriors,47.00%,53.00%
Fri Nov 29 2019,12:00p,Boston Celtics,Brooklyn Nets,49.66%,50.34%
Fri Nov 29 2019,7:00p,Charlotte Hornets,Detroit Pistons,62.74%,37.26%
Fri Nov 29 2019,7:00p,Toronto Raptors,Orlando Magic,34.80%,65.20%
Fri Nov 29 2019,7:30p,Milwaukee Bucks,Cleveland Cavaliers,21.49%,78.51%
Fri Nov 29 2019,7:30p,Philadelphia 76ers,New York Knicks,33.64%,66.36%
Fri Nov 29 2019,8:00p,Atlanta Hawks,Indiana Pacers,83.08%,16.92%
Fri Nov 29 2019,8:00p,Utah Jazz,Memphis Grizzlies,40.35%,59.65%
Fri Nov 29 2019,8:00p,Golden State Warriors,Miami Heat,85.22%,14.78%
Fri Nov 29 2019,8:00p,New Orleans Pelicans,Oklahoma City Thunder,55.05%,44.95%
Fri Nov 29 2019,8:30p,Los Angeles Clippers,San Antonio Spurs,38.41%,61.59%
Fri Nov 29 2019,9:00p,Dallas Mavericks,Phoenix Suns,39.49%,60.51%
Fri Nov 29 2019,10:00p,Chicago Bulls,Portland Trail Blazers,68.73%,31.27%
Fri Nov 29 2019,10:30p,Washington Wizards,Los Angeles Lakers,82.23%,17.77%
Sat Nov 30 2019,5:00p,Denver Nuggets,Sacramento Kings,37.94%,62.06%
Sat Nov 30 2019,7:00p,Indiana Pacers,Philadelphia 76ers,69.01%,30.99%
Sat Nov 30 2019,8:00p,Atlanta Hawks,Houston Rockets,85.60%,14.40%
Sat Nov 30 2019,8:00p,Charlotte Hornets,Milwaukee Bucks,85.54%,14.46%
Sun Dec 1 2019,3:00p,Miami Heat,Brooklyn Nets,40.89%,59.11%
Sun Dec 1 2019,3:30p,Memphis Grizzlies,Minnesota Timberwolves,73.69%,26.31%
Sun Dec 1 2019,3:30p,Boston Celtics,New York Knicks,32.66%,67.34%
Sun Dec 1 2019,4:00p,Dallas Mavericks,Los Angeles Lakers,74.92%,25.08%
Sun Dec 1 2019,5:00p,San Antonio Spurs,Detroit Pistons,58.11%,41.89%
Sun Dec 1 2019,5:00p,Oklahoma City Thunder,New Orleans Pelicans,60.13%,39.87%
Sun Dec 1 2019,6:00p,Golden State Warriors,Orlando Magic,76.30%,23.70%
Sun Dec 1 2019,6:00p,Utah Jazz,Toronto Raptors,80.25%,19.75%
Sun Dec 1 2019,10:30p,Washington Wizards,Los Angeles Clippers,75.01%,24.99%
Mon Dec 2 2019,7:00p,Phoenix Suns,Charlotte Hornets,37.03%,62.97%
Mon Dec 2 2019,7:00p,Utah Jazz,Philadelphia 76ers,74.03%,25.97%
Mon Dec 2 2019,7:30p,Golden State Warriors,Atlanta Hawks,49.09%,50.91%
Mon Dec 2 2019,8:00p,Indiana Pacers,Memphis Grizzlies,46.77%,53.23%
Mon Dec 2 2019,8:00p,New York Knicks,Milwaukee Bucks,88.03%,11.97%
Mon Dec 2 2019,10:00p,Chicago Bulls,Sacramento Kings,64.99%,35.01%
Tue Dec 3 2019,7:00p,Detroit Pistons,Cleveland Cavaliers,34.18%,65.82%
